Food,Classe
American lobster,Fish
Apple,Fruits
Arborio rice,Rice
Bacardi cocktail,Alcoholic beverage
Baked goods,Bread
Banana,Fruits
Banana family,Fruits
Barbecue chicken,Chicken
Beer,Alcoholic beverage
Bigoli,Pasta
Bitter orange,Drink
Bk chicken fries,Chicken
Bread,Bread
Breakfast cereal,Breakfast
Breakfast sandwich,Breakfast
Bucatini,Pasta
Buffalo burger,Meat
Bun,Bread
Burger King grilled chicken sandwiches,Chicken
Burger king premium burgers,Meat
Butter chicken,Chicken
Buttercream,Sweet
Cake,Sweet
California roll,Japan
California-style pizza,Pizza
Candy,Sweet
Candy & chocolate mold,Sweet
Candy apple,Sweet
Candy cane,Sweet
Candy corn,Sweet
Cantaloupe,Fruits
Capellini,Pasta
Carrot,Vegetable
Carrot cake,Sweet
Ceasar salad,Salad
Cereal,Rice
Cheese,Cheese
Cheeseburger,Cheese
Cheesecake,Cheese
Cherry,Fruits
Cherry Tomatoes,Sauce
Chicken feet,Chicken
Chicken frien steak,Chicken
Chicken meat,Chicken
Chicken nugget,Chicken
Chicken salad,Salad
Chocolate brownie,Chocolate
Chocolate cake,Chocolate
Chocolate chip,Chocolate
Chocolate chip cookie,Chocolate
Chocolate ice cream,Chocolate
Chocolate liquor,Chocolate
Chocolate milk,Chocolate
Chocolate sandwich,Chocolate
Chocolate spread,Chocolate
Ciauscolo,Meat
Citron,Fruits
Classic cocktail,Alcoholic beverage
Coca-cola,Drink
Cocktail,Alcoholic beverage
Cocktail garnish,Alcoholic beverage
Coconut candy,Sweet
Cola,Drink
Cold cut,Meat
Cooking plantain,Fruits
Corn chip,Mais
Corn chowder,Mais
Corn dog,Mais
Corn salad,Salad
Cotton candy,Sweet
Crispy fried chicken,Chicken
Cucumber gourd and melon family,Fruits
Cupcake,Sweet
Dairy,Dairy 
Damper,Bread
Dark chocolate,Chocolate
Decapoda,Fish
Dessert,Sweet
Distilled beverage,Alcoholic beverage
Dondurma,Sweet
Donut,Sweet
Drink,Alcoholic beverage
Egg,Egg
Egg salad,Salad
Egg white,Egg
Egg yolk,Egg
Fast food,JunkFood
Fish,Fish
Fish ball,Fish
Fish slice,Fish
Flatbread,Bread
French fries,Fried
Fried chicken,Fried
Fried clams,Fried
Fried egg,Fried
Fried fish,Fried
Fried food,Fried
Fried noodles,Fried
Fried onion,Fried
Fried prawn,Fried
Fried rice,Fried
Frikadeller,Meat
Frozen carbonated beverage,Drink
Frozen dessert,Sweet
Fruit cake,Sweet
Fruit salad,Salad
Fuet,Meat
Galia,Fruits
Garden salad,Salad
Garnish
Gelato,Sweet
Gimbap,Japan
Granita,Sweet
Grape,Fruits
Gummi candy,Sweet
Gyro,Meat
Ham,Meat
Ham salad,Salad
Hamburger,Meat
Hard dough bread,Bread
Homarus,Fish
Honey,Sweet
Honeydew,Fruits
Hot chocolate,Chocolate
Hot dog,Meat
Ice cream,Sweet
Ice cream cone,Sweet
Icing,Sweet
Irish potato candy,Sweet
Juice,Drink
Kasuzuke,Japan
Key lime,Sweet
Kids' meal,JunkFood
Kofta,Meat
Lamian,Pasta
Laver,Vegetable
Leaf vegetable,Vegetable
Lemon,Fruits
Lemon-lime,Drink
Lime,Fruits
Liquor,Alcoholic beverage
Lobster,Fish
Locro,Mais
Maria luisa cake,Sweet
Mcdonald's chicken mcnuggets,Chicken
Meat,Meat
Meatball,Meat
Melon,Fruits
Meyer lemon,Fruits
Milk,Drink
Milkshake,Drink
Mo,Meat
Mojito,Alcoholic beverage
Mooncake,Sweet
Mortadella,Meat
Muskmelon,Fruits
Nachos,Mais
Naporitan,Sauce
Natural foods,Vegetable
Non-alcoholic beverage,Drink
Noodle,Pasta
Nori,Vegetable
Okinawa soba,Japan
Orange,Fruits
Orange chicken,Chicken
Orange jelly candy,Sweet
Original chicken sandwich,Chicken
Pancake,Sweet
Pasta e fagioli,Pasta
Pasta pomodoro,Pasta
Pasta salad,Pasta
Pasta with pancetta,Pasta
Peach,Fruits
Pear,Fruits
Pepperoni,Vegetable
Pepperoni roll,Vegetable
Peroni,Alcoholic beverage
Pizza,Pizza
Pizza cheese,Pizza
Poached egg,Egg
Porridge,Rice
Potato bread,Potato
Potato chip,Potato
Potato pancake,Potato
Potato salad,Salad
Potatoes,Potato
Pumpkin pie,Sweet
Pumpkin pie spice
Ramen,Japan
Rangpur,Alcoholic beverage
Red wine,Alcoholic beverage
Refried beans,Beans
Rice,Rice
Rice cereal,Rice
Risotto,Rice
Rum cake,Sweet
Rum swizzle,Alcoholic beverage
Saba banana,Fruits
Salad,Salad
Salami,Meat
SalchichÃ³n,Meat
Salmon,Fish
Salmon burger,Fish
Salt-cured meat,Meat
Sandwich,Bread
Sandwich wrap,Bread
Sashimi,Japan
Saucisson de lyon,Meat
Scone,Sweet
Seafood,Fish
Seedless fruit,Fruit
Slider,Bread
Smoked salmon,Fish
Snack cake,Sweet
Soda bread,Bread
Soki,Japan
Sole meunière,Fish
Soppressata,Meat
Sorbet,Sweet
Sorbetes,Sweet
Soup,Soup
Sour cherry soup,Soup
Sourdough,Bread
Spaghetti,Pasta
Spinach salad,Salad
Spiny lobster,Fish
Spritzer,Alcoholic beverage
Spumoni,Sweet
Steak,Meat
Stick candy,Sweet
Sushi,Japan
Sweet and sour,Drink
Sweet corn,Sweet
Sweet lemon,Fruits
Taco,Mais
Tangerine,Fruits
Tarte flambÃ©e,Pizza
Torte,Sweet
Tortilla chip,Mais
Totopo,Mais
Tsoureki,Sweet
Tuna salad,Salad
Turkey ham,Meat
Vegetable,Vegetable
Vegetarian food,Vegetable
Veggie burger,Vegetable
Ventricina,Meat
Watermelon,Fruits
Whipped cream,Sweet
Wild carrot,Vegetable
Wine,Alcoholic beverage
Wine cocktail,Alcoholic beverage
Zucchini,Vegetable
Crostata,Sweet
Linzer torte,Sweet
Strawberry,Fruits
Pie,Sweet
Salteñas,Fried
Dumpling,Japan
Gyoza,Japan
Baozi,Japan
Nikuman,Japan
Cha siu bao,Japan
Bánh bao,Japan
Sashimi,Japan
Gimbap,Japan
Wonton,Japan
Nem,Japan
